setting,policy,cap,threshold,album,posthoc_screened_quality,cases,positive_cases,supported_answers,quality,negative_abstention,mean_input_tokens,mean_total_tokens,tokens_per_supported_answer,availability,utilization,target_recall,model_attribution,mean_receipt_latency_s,mean_rounds
tfidf:400:t3,tfidf,400,3,natalia,0.6,6,5,3,0.6,1.0,1222.1666666666667,1470.6666666666667,2941.3333333333335,0.2727272727272727,1.0,0.2727272727272727,1.0,3.4695023749955,1.0
embedding:1600:t3,embedding,1600,3,rhcp,1.0,6,5,5,1.0,0.0,2622.5,2904.1666666666665,3485.0,0.9090909090909091,0.7,0.6363636363636364,1.0,4.257853298506234,1.0
embedding:1600:t3,embedding,1600,3,roach,1.0,6,5,5,1.0,1.0,2366.0,2594.0,3112.8,1.0,0.8181818181818182,0.8181818181818182,1.0,3.3817272361581368,1.0
embedding:1600:t3,embedding,1600,3,beatles,0.6,6,5,3,0.6,1.0,2473.3333333333335,2717.5,5435.0,0.9090909090909091,0.7,0.6363636363636364,0.8823529411764706,3.5264887915109284,1.0
embedding:1600:t3,embedding,1600,3,natalia,1.0,6,5,5,1.0,1.0,2406.1666666666665,2636.6666666666665,3164.0,1.0,0.5454545454545454,0.5454545454545454,1.0,3.6155472848525583,1.0
embedding:2400:t3,embedding,2400,3,rhcp,0.6,6,5,3,0.6,0.0,2816.8333333333335,3052.5,6105.0,1.0,0.5454545454545454,0.5454545454545454,0.875,4.38039761801095,1.0
embedding:2400:t3,embedding,2400,3,roach,1.0,6,5,5,1.0,1.0,2377.3333333333335,2618.5,3142.2,1.0,0.8181818181818182,0.8181818181818182,1.0,3.617311125000318,1.0
embedding:2400:t3,embedding,2400,3,beatles,0.8,6,5,4,0.8,1.0,2959.3333333333335,3191.8333333333335,4787.75,1.0,0.8181818181818182,0.8181818181818182,0.9166666666666666,3.327781541486426,1.0
embedding:2400:t3,embedding,2400,3,natalia,0.8,6,5,4,0.8,1.0,2415.1666666666665,2653.0,3979.5,1.0,0.5454545454545454,0.5454545454545454,0.9411764705882353,4.009569909666122,1.0
tfidf:800:t3,tfidf,800,3,rhcp,1.0,6,5,5,1.0,1.0,1579.5,1817.3333333333333,2180.8,0.5454545454545454,1.0,0.5454545454545454,1.0,3.4517844864943377,1.0
tfidf:800:t3,tfidf,800,3,roach,0.6,6,5,3,0.6,1.0,1623.5,1863.1666666666667,3726.3333333333335,0.9090909090909091,0.9,0.8181818181818182,0.8888888888888888,4.3096565628463095,1.0
tfidf:800:t3,tfidf,800,3,beatles,0.4,6,5,2,0.4,1.0,1567.1666666666667,1808.8333333333333,5426.5,0.9090909090909091,0.7,0.6363636363636364,0.8235294117647058,3.4738458753369437,1.0
tfidf:800:t3,tfidf,800,3,natalia,0.6,6,5,3,0.6,1.0,1572.3333333333333,1787.0,3574.0,0.6363636363636364,0.5714285714285714,0.36363636363636365,0.9230769230769231,3.5410085901482184,1.0
embedding:800:t3,embedding,800,3,rhcp,0.2,6,5,1,0.2,0.0,1679.8333333333333,1941.8333333333333,11651.0,0.45454545454545453,0.8,0.36363636363636365,0.9,4.166113590326859,1.0
embedding:800:t3,embedding,800,3,roach,0.8,6,5,4,0.8,1.0,1613.1666666666667,1851.8333333333333,2777.75,0.9090909090909091,0.8,0.7272727272727273,0.9411764705882353,3.71438595817502,1.0
embedding:800:t3,embedding,800,3,beatles,0.0,6,5,0,0.0,1.0,1567.6666666666667,1807.8333333333333,,0.9090909090909091,0.7,0.6363636363636364,0.8,3.641058527835412,1.0
embedding:800:t3,embedding,800,3,natalia,0.8,6,5,4,0.8,1.0,1618.8333333333333,1865.8333333333333,2798.75,0.7272727272727273,0.75,0.5454545454545454,1.0,3.7732727150141727,1.0
embedding:1200:t3,embedding,1200,3,rhcp,0.4,6,5,2,0.4,1.0,1952.0,2191.6666666666665,6575.0,0.5454545454545454,0.6666666666666666,0.36363636363636365,0.7777777777777778,3.5919721804869673,1.0
embedding:1200:t3,embedding,1200,3,roach,1.0,6,5,5,1.0,1.0,1984.6666666666667,2216.1666666666665,2659.4,0.9090909090909091,0.9,0.8181818181818182,1.0,3.398419020678072,1.0
embedding:1200:t3,embedding,1200,3,beatles,0.8,6,5,4,0.8,1.0,2080.0,2311.8333333333335,3467.75,0.9090909090909091,0.6,0.5454545454545454,0.8823529411764706,3.595035229314817,1.0
embedding:1200:t3,embedding,1200,3,natalia,1.0,6,5,5,1.0,1.0,2028.5,2275.3333333333335,2730.4,0.9090909090909091,0.5,0.45454545454545453,1.0,3.6621810068318155,1.0
tfidf:2400:t3,tfidf,2400,3,rhcp,0.8,6,5,4,0.8,0.0,2856.5,3123.1666666666665,4684.75,1.0,0.5454545454545454,0.5454545454545454,0.95,3.84830463231386,1.0
tfidf:2400:t3,tfidf,2400,3,roach,1.0,6,5,5,1.0,1.0,2367.5,2599.6666666666665,3119.6,1.0,0.8181818181818182,0.8181818181818182,1.0,3.64144316665867,1.0
tfidf:2400:t3,tfidf,2400,3,beatles,0.8,6,5,4,0.8,1.0,2961.1666666666665,3194.8333333333335,4792.25,1.0,0.8181818181818182,0.8181818181818182,0.9166666666666666,3.4618822083381624,1.0
tfidf:2400:t3,tfidf,2400,3,natalia,1.0,6,5,5,1.0,1.0,2416.6666666666665,2651.8333333333335,3182.2,1.0,0.45454545454545453,0.45454545454545453,1.0,3.926380395811672,1.0
adaptive:100000:t3,adaptive,100000,3,rhcp,1.0,6,5,5,1.0,0.0,2878.3333333333335,3336.8333333333335,4004.2,0.36363636363636365,0.75,0.2727272727272727,1.0,8.378995826545482,1.5
adaptive:100000:t3,adaptive,100000,3,roach,0.6,6,5,4,0.8,1.0,15029.5,16130.0,24195.0,0.9090909090909091,0.6,0.5454545454545454,1.0,19.88941790915366,4.666666666666667
adaptive:100000:t3,adaptive,100000,3,beatles,0.8,6,5,4,0.8,1.0,13571.166666666666,14613.833333333334,21920.75,0.9090909090909091,0.9,0.8181818181818182,1.0,19.136640937494423,4.166666666666667
adaptive:100000:t3,adaptive,100000,3,natalia,1.0,6,5,5,1.0,1.0,6702.5,7263.833333333333,8716.6,0.6363636363636364,0.8571428571428571,0.5454545454545454,1.0,10.675806527511062,3.0
relational:1600:t3,relational,1600,3,rhcp,0.2,6,5,1,0.2,1.0,2462.8333333333335,2729.3333333333335,16376.0,0.6363636363636364,0.2857142857142857,0.18181818181818182,0.6666666666666666,3.7255197085129717,1.0
relational:1600:t3,relational,1600,3,roach,0.4,6,5,2,0.4,1.0,2476.6666666666665,2709.1666666666665,8127.5,0.8181818181818182,0.5555555555555556,0.45454545454545453,0.8125,3.625544895835143,1.0
relational:1600:t3,relational,1600,3,beatles,0.6,6,5,3,0.6,1.0,2468.6666666666665,2705.3333333333335,5410.666666666667,0.9090909090909091,0.8,0.7272727272727273,0.8666666666666667,3.9902755698227943,1.0
relational:1600:t3,relational,1600,3,natalia,0.4,6,5,2,0.4,1.0,2489.3333333333335,2737.5,8212.5,0.7272727272727273,0.875,0.6363636363636364,0.8333333333333334,3.522134396005034,1.0
relational:800:t3,relational,800,3,rhcp,0.4,6,5,2,0.4,1.0,1508.8333333333333,1763.6666666666667,5291.0,0.45454545454545453,0.8,0.36363636363636365,0.5909090909090909,3.5401351805000254,1.0
relational:800:t3,relational,800,3,roach,0.2,6,5,1,0.2,1.0,1571.8333333333333,1797.5,10785.0,0.45454545454545453,0.8,0.36363636363636365,0.8666666666666667,3.269335062310953,1.0
relational:800:t3,relational,800,3,beatles,0.2,6,5,1,0.2,1.0,1583.8333333333333,1839.1666666666667,11035.0,0.7272727272727273,1.0,0.7272727272727273,0.7222222222222222,3.6953588128477954,1.0
relational:800:t3,relational,800,3,natalia,0.4,6,5,2,0.4,1.0,1544.5,1774.5,5323.5,0.5454545454545454,0.6666666666666666,0.36363636363636365,0.8,3.458097604161594,1.0
relational:1200:t3,relational,1200,3,rhcp,0.4,6,5,2,0.4,0.0,2113.5,2382.3333333333335,7147.0,0.6363636363636364,0.42857142857142855,0.2727272727272727,0.75,4.503708965174155,1.0
relational:1200:t3,relational,1200,3,roach,0.2,6,5,1,0.2,1.0,2044.1666666666667,2274.1666666666665,13645.0,0.7272727272727273,0.625,0.45454545454545453,0.8125,3.506665986176813,1.0
relational:1200:t3,relational,1200,3,beatles,0.2,6,5,1,0.2,1.0,2047.8333333333333,2300.6666666666665,13804.0,0.8181818181818182,1.0,0.8181818181818182,0.5882352941176471,3.950028611162755,1.0
relational:1200:t3,relational,1200,3,natalia,0.6,6,5,4,0.8,1.0,2064.3333333333335,2312.0,3468.0,0.5454545454545454,0.6666666666666666,0.36363636363636365,0.9444444444444444,3.9654666386777535,1.0
adaptive:100000:t2,adaptive,100000,2,rhcp,1.0,6,5,5,1.0,0.0,2883.6666666666665,3342.3333333333335,4010.8,0.36363636363636365,0.75,0.2727272727272727,1.0,8.889765680544466,1.5
adaptive:100000:t2,adaptive,100000,2,roach,0.6,6,5,4,0.8,1.0,15489.666666666666,16657.5,24986.25,0.9090909090909091,0.6,0.5454545454545454,1.0,20.718424180173315,4.666666666666667
adaptive:100000:t2,adaptive,100000,2,beatles,0.8,6,5,4,0.8,1.0,14017.833333333334,15162.166666666666,22743.25,0.9090909090909091,0.9,0.8181818181818182,1.0,19.20065222935712,4.166666666666667
adaptive:100000:t2,adaptive,100000,2,natalia,1.0,6,5,5,1.0,1.0,7130.666666666667,7777.666666666667,9333.2,0.6363636363636364,0.8571428571428571,0.5454545454545454,1.0,11.738818089817263,3.0
adaptive:100000:t4,adaptive,100000,4,rhcp,1.0,6,5,5,1.0,0.0,5130.166666666667,5611.5,6733.8,0.45454545454545453,0.6,0.2727272727272727,1.0,9.24848842350184,2.5
adaptive:100000:t4,adaptive,100000,4,roach,0.6,6,5,4,0.8,1.0,14383.833333333334,15395.5,23093.25,0.9090909090909091,0.6,0.5454545454545454,1.0,17.724524624839734,4.666666666666667
adaptive:100000:t4,adaptive,100000,4,beatles,0.8,6,5,4,0.8,1.0,12829.833333333334,13747.166666666666,20620.75,0.9090909090909091,0.9,0.8181818181818182,1.0,16.015031125522608,4.333333333333333
adaptive:100000:t4,adaptive,100000,4,natalia,1.0,6,5,5,1.0,1.0,7868.833333333333,8449.833333333334,10139.8,0.8181818181818182,0.7777777777777778,0.6363636363636364,1.0,10.629933985512858,3.3333333333333335
